runID,Isotope,Activity,x,y,z
141,In131,100000.0,-6.67,0,3
142,In131,100000.0,-3.33,0,3
143,In131,100000.0,0.0,0,3
144,In131,100000.0,3.33,0,3
145,In131,100000.0,6.67,0,3
146,In131,100000.0,10.0,0,3
147,In131,100000.0,13.33,0,3
148,In131,100000.0,16.67,0,3
149,In131,100000.0,20.0,0,3
150,Sc46,100000.0,-10.0,0,3
151,Sc46,100000.0,-6.67,0,3
152,Sc46,100000.0,-3.33,0,3
153,Sc46,100000.0,0.0,0,3
154,Sc46,100000.0,3.33,0,3
155,Sc46,100000.0,6.67,0,3
156,Sc46,100000.0,10.0,0,3
157,Sc46,100000.0,13.33,0,3
158,Sc46,100000.0,16.67,0,3
159,Sc46,100000.0,20.0,0,3
